name,hr2,hr4,hr6,hr8,hr12,hr18,Day1,Day2,Day4,Day7,sym
A_55_P2141093,-0.22745724,-0.121008565,0.086302661,0.225051476,-0.088042541,0.375330783,-0.392439826,0.131376476,0.095386538,0.651296416,000000000+
A_55_P2027327,0.100154825,0.016042965,0.056038878,-0.117755441,-0.221260868,0.245602439,-0.090317049,0.010639196,0.237600281,1.042524224,000000000+
A_66_P123683,-0.045242007,0.13384806,0.000100062,0.141571212,-0.347057671,-0.098279106,-0.162585159,-0.022593959,-0.041974886,0.851698194,000000000+
A_55_P2117420,-0.22625082,0.370116674,0.201294742,-0.070069425,-0.32607716,-0.329323183,-0.347476014,-0.089110265,0.296362944,0.758490091,000000000+
A_55_P2106569,0.249773956,0.046732727,-0.202186818,0.224231483,-0.246773049,0.002913388,-0.250083635,-0.017641905,0.294364597,2.673284593,000000000+
A_55_P2108122,0.393757877,-0.159659885,-0.10664731,-0.186493122,-0.178751167,-0.088391181,0.301580473,0.106434331,-0.105033444,0.504389867,000000000+
A_51_P416919,0.203567907,-0.070678466,-0.222593246,-0.122552768,-0.321402879,-0.456255296,0.193249411,0.269332605,-0.151747455,0.685765087,000000000+
A_55_P2090996,0.092694469,-0.056728018,-0.090286548,-0.085980956,0.192999261,0.200616346,0.104609644,0.051506892,-0.082115351,0.577905578,000000000+
A_51_P396854,0.316727359,-0.311543828,-0.29058666,-0.092118475,0.016050736,0.224006632,-0.183263689,0.079340129,0.041688006,0.678782654,000000000+
A_52_P282762,-0.033086374,-0.09645761,-0.092776674,0.142910945,-0.019436766,0.053362142,-0.229028166,-0.052294478,0.086877629,0.979567718,000000000+
A_55_P2005145,-0.407194756,-0.003053228,-0.253125522,0.128293513,0.09905116,-0.037934579,-0.057999794,0.026563792,0.205275843,0.548046889,000000000+
A_55_P2153762,0.225166801,-0.046105738,-0.182834473,-0.356898723,-0.155866259,0.295717252,-0.487136119,-0.215559841,-0.055265397,0.692029973,000000000+
A_65_P16680,0.17467091,-0.317082272,-0.272390885,0.03473966,0.044866741,0.121057856,-0.129441993,0.069911448,-0.015599445,1.523535187,000000000+
A_55_P2062811,0.244740043,-0.269735501,-0.313473205,-0.114574483,-0.255739715,-0.202028831,-0.080058085,0.088557826,-0.096488098,0.655589823,000000000+
A_52_P148212,-0.478867173,0.219988853,-0.317901495,0.392013641,0.04215838,0.191685721,0.475750146,-0.002110542,0.300800967,1.113185192,000000000+
A_55_P1971347,-0.048505672,-0.075773318,0.032685865,0.153338658,-0.439873696,-0.175108229,-0.153474462,-0.154808404,0.271772396,0.545226823,000000000+
A_51_P395293,0.496535373,-0.066227463,-0.20098936,-0.234507038,-0.00245485,-0.476932482,0.339521487,0.011476514,-0.328436672,0.508549124,000000000+
A_55_P2035454,-0.150550318,-0.034918871,-0.015118599,-0.022404633,-0.332591892,-0.347659956,-0.193690036,-0.247514526,0.001580537,0.631225098,000000000+
A_55_P2067146,0.00326114,0.253638346,-0.170795715,0.228854433,-0.117553775,-0.019627202,0.343266711,0.323149138,0.033752703,0.557534347,000000000+
A_30_P01028215,0.391166784,-0.274315188,-0.050178057,-0.04150973,0.011401208,-0.011249396,-0.126811362,0.221538939,-0.255046521,0.553957578,000000000+
A_66_P120745,0.2804842,-0.243036605,-0.037671628,-0.237282159,-0.460257147,-0.225826806,0.051866281,0.218380828,-0.066897232,0.52580013,000000000+
A_51_P239673,0.466812393,-0.200607058,-0.300726135,-0.016649119,-0.1787193,-0.175408884,-0.095917271,0.019616339,0.056428013,1.187869129,000000000+
A_51_P122246,0.145803073,-0.053627779,-0.043914403,0.005185263,-0.033331688,-0.371886578,0.242657482,0.12060027,-0.166229422,0.57915889,000000000+
A_52_P64514,0.111161555,-0.063751343,-0.449993578,0.129416214,-0.233012648,-0.098372738,-0.367528528,0.048022038,0.180194943,1.975573935,000000000+
A_65_P19784,0.132507854,-0.123277622,-0.082510829,-0.143786292,-0.302541311,0.136970896,0.006678816,-0.007918062,-0.01883872,0.556831545,000000000+
A_55_P2064547,-0.125649124,-0.061648827,0.195390427,-0.225044931,-0.266137346,0.044150873,0.257100671,-0.0376119,-0.05545883,1.185443281,000000000+
A_30_P01021415,0.036823961,0.160234127,-0.291926852,0.065335021,0.075694661,0.022851465,0.183429799,0.04787617,0.094354198,0.541089434,000000000+
A_55_P2093226,-0.419183903,0.270146587,-0.406455848,0.21309187,-0.023981604,0.211720742,-0.308296401,0.319691512,0.342304968,0.555809595,000000000+
A_51_P344566,-0.169074441,0.08823559,0.134229875,0.065572794,0.273161796,-0.100512965,0.36135369,0.093835951,-0.061736969,0.688072661,000000000+
A_30_P01025369,-0.074406465,-0.029613264,0.0148994,-0.076058736,-0.325786498,-0.261039431,-0.181777703,-0.194024414,-0.053462778,0.626604639,000000000+
A_55_P2404803,0.047062998,0.073779977,-0.19616385,0.258479964,-0.023388979,-0.198993256,-0.145067247,0.123170272,-0.1232632,0.520689524,000000000+
A_51_P429472,0.143226742,-0.046940616,-0.483713889,0.207761686,-0.276892453,-0.329078342,0.037459816,0.28928422,0.186824148,0.542391327,000000000+
A_55_P1993404,0.049427023,-0.185869892,0.014666712,0.275992115,-0.003511637,-0.204430359,0.236255288,0.271702362,0.412929626,0.94241167,000000000+
A_51_P203955,0.247165874,-0.361244132,-0.475132233,0.238781751,-0.469290532,0.208276664,-0.19355738,-0.065439381,0.103397555,3.373250759,000000000+
A_51_P453401,0.297842723,-0.158454692,-0.244745531,-0.116892689,-0.44610689,-0.022702704,-0.048882447,-0.031976377,0.108119804,0.715334055,000000000+
A_52_P880457,0.41083298,-0.312278936,-0.331622432,0.09345568,-0.229527095,0.046346715,-0.224930333,0.023427225,0.080266561,0.501146755,000000000+
A_30_P01017799,0.086706377,-0.065133873,-0.059207369,0.064554253,-0.121063567,0.034248387,0.041735064,0.084565656,0.162151669,0.501653285,000000000+
A_30_P01023606,0.26814703,-0.192381793,-0.258160249,-0.206394119,-0.488890466,-0.195165076,-0.25183504,0.151397291,-0.056348605,0.781836938,000000000+
A_30_P01031245,-0.043204534,0.179310502,-0.178544366,0.316309346,-0.137392778,-0.160901122,-0.183529105,-0.013965033,-0.052842174,0.536107972,000000000+
A_66_P101393,0.030464686,0.220785969,0.104380618,0.141198615,-0.089468836,0.042963177,-0.222524153,-0.018724306,0.036185901,0.52142185,000000000+
A_51_P128876,-0.327598143,-0.105993242,-0.15276255,0.01831108,-0.015950747,0.099159175,-0.166252798,-0.130047133,0.043436688,1.456967556,000000000+
A_55_P1981959,-0.320702631,0.10146904,-0.124051121,0.076140245,-0.016847798,0.334019811,-0.291606663,-0.211911245,0.113431954,1.093387405,000000000+
A_51_P443364,0.285655491,0.137216981,-0.328661346,-0.086964078,-0.314087455,0.415338785,-0.21187628,0.241179609,0.061925234,0.566936124,000000000+
A_55_P2243431,0.269834988,-0.343421988,-0.264339617,-0.092242357,-0.32750053,-0.084023926,-0.084405064,0.058658785,0.20276825,1.766127141,000000000+
A_55_P1975843,-0.061361316,-0.061848146,-0.100200251,0.000757496,0.132911577,-0.047484228,-0.082673372,0.053663808,0.0546997,0.550182468,000000000+
A_52_P582150,0.260613825,-0.295813453,-0.185198479,-0.076618405,-0.08323868,0.175072256,-0.103658716,0.054414603,-0.074213739,0.531803262,000000000+
A_55_P2177103,0.296573744,-0.350545748,-0.310969861,-0.31922353,-0.212557512,-0.101806421,0.077481678,0.031822268,-0.15206362,0.939352376,000000000+
A_66_P137152,0.385623506,-0.168487183,0.018405343,-0.131223061,-0.070111815,0.007623693,-0.071725554,-0.088632599,-0.033121187,0.753844874,000000000+
A_51_P446510,0.456671091,-0.357863468,-0.335981258,0.049037081,-0.278936123,-0.220921742,-0.170774039,0.020747106,-0.013165629,0.675341124,000000000+
